employee_key,employee_code,full_name,store_key,role,employment_type,hire_date,hourly_rate,is_active
1,EMP-00001,Moshe Katz,1,Store Manager,Full-time,2022-01-19,81.19,1
2,EMP-00002,Itai Sasson,1,Shift Manager,Full-time,2022-02-19,57.25,1
3,EMP-00003,Omer Levi,1,Shift Manager,Full-time,2024-08-11,57.74,1
4,EMP-00004,Daniel Sasson,1,Stocker,Full-time,2025-04-01,34.16,1
5,EMP-00005,Ofir Amar,1,Stocker,Full-time,2021-03-15,34.13,1
6,EMP-00006,Moshe Ben-David,1,Butcher,Full-time,2025-03-20,50.58,1
7,EMP-00007,Tamar Malka,1,Baker,Part-time,2024-06-03,49.47,1
8,EMP-00008,Eitan Elbaz,1,Security,Full-time,2021-07-07,43.92,1
9,EMP-00009,Shira Peretz,1,Cleaner,Part-time,2024-01-10,39.75,1
10,EMP-00010,Tal Levi,1,Cashier,Student,2021-08-12,37.95,1
11,EMP-00011,Itai Avraham,1,Cashier,Student,2024-05-03,38.57,1
12,EMP-00012,Roni Avraham,1,Cashier,Full-time,2024-02-05,34.24,1
13,EMP-00013,Yael Ohayon,1,Cashier,Student,2021-12-31,39.05,1
14,EMP-00014,Tal Mizrahi,2,Store Manager,Full-time,2021-06-18,85.90,1
15,EMP-00015,Daniel Ben-David,2,Shift Manager,Full-time,2024-09-10,55.67,1
16,EMP-00016,Liat Amar,2,Shift Manager,Full-time,2023-04-12,54.47,1
17,EMP-00017,Nadav Mizrahi,2,Stocker,Part-time,2021-11-21,38.25,1
18,EMP-00018,Adi Ben-David,2,Stocker,Full-time,2022-08-01,38.63,1
19,EMP-00019,Roni Biton,2,Butcher,Full-time,2024-01-26,46.52,1
20,EMP-00020,Gal Azoulay,2,Baker,Part-time,2021-03-19,46.29,1
21,EMP-00021,Omer Friedman,2,Security,Full-time,2021-04-04,39.08,1
22,EMP-00022,Itai Avraham,2,Cleaner,Full-time,2023-04-21,38.99,1
23,EMP-00023,Sigal Biton,2,Cashier,Full-time,2021-04-02,37.29,1
